AIRCRAFT,ABREV,REV,REV_DATE,VERSION,LOPA,MAX TAXI,MAX TAKEOFF,MAX LANDING,MAX ZERO FUEL,FUEL CAPACITY,EMPTY,EMPTY,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,CHEMICAL FLUID,CHEMICAL FLUID,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,STRETCHER,STRETCHER,STRETCHER,STRETCHER,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,WATER,WATER,WATER,WATER,MAX_PAX,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION
,,,,,,,,,,,WEIGHT,INDEX,PERMANENT,PERMANENT,OCCASIONNAL,OCCASIONNAL,VIP,VIP,WEIGHT,INDEX VAR,Captain or FO,Captain or FO,1ST OBS,1ST OBS,2ND OBS,2ND OBS,FWD LH,FWD LH,FWD RH,FWD RH,AFT LH,AFT LH,AFT RH,AFT RH,RIGHT,RIGHT,LEFT,LEFT,A,A,B,B,C/E/F,C/E/F,D,D,DRINKING by 1/4,DRINKING by 1/4,by 1/4,by 1/4,,OA,OA,OA,OA,OB,OB,OB,OB,OC,OC,OC,OC,OA,OA,OB,OB,OC,OC
,,,,,,,,,,,,,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,,,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,,ADULT,MALE,FEMALE,CHILD,ADULT,MALE,FEMALE,CHILD,ADULT,MALE,FEMALE,CHILD,MAX,COEFF,MAX,COEFF,MAX,COEFF
CN-RHC,RHC,03-2025,04/06/2025,12C144Y,378-6851,82417,82190,69308,64818,20728,44733,"38,04",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10","57,16","+0,63","57,16","+0,63",967,"+4,61",758,"+2,36",915,"+4,00",168,"-2,64",59,"+0,83",236,"+3,32",156,"-0,9816","-1,0283","-0,8180","-0,4090","-0,2954","-0,3095","-0,2462","-0,1231","0,6350","0,6653","0,5292","0,2646",12,0.074826,78,0.5,66,
CN-RHD,RHD,01-2025,25/06/2025,12C144Y,378-6851,82417,82190,69308,64818,20728,44826,"37,82",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10","57,16","+0,63","57,16","+0,63",967,"+4,61",758,"+2,36",915,"+4,00",168,"-2,64",59,"+0,83",236,"+3,32",156,"-0,9816","-1,0283","-0,8180","-0,4090","-0,2954","-0,3095","-0,2462","-0,1231","0,6350","0,6653","0,5292","0,2646",12,0.074826,78,0.5,66,
CN-RHE,RHE,01-2025,07/07/2025,12C144Y,378-6851,82417,82190,69308,64818,20728,44823,"37,54",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10","57,16","+0,63","57,16","+0,63",967,"+4,61",758,"+2,36",915,"+4,00",168,"-2,64",59,"+0,83",236,"+3,32",156,"-0,9816","-1,0283","-0,8180","-0,4090","-0,2954","-0,3095","-0,2462","-0,1231","0,6350","0,6653","0,5292","0,2646",12,0.074826,78,0.5,66,
CN-RHF,RHF,01-2025,29/07/2025,12C144Y,378-6851,82417,82190,69308,64818,20728,44734,"38,39",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10","57,16","+0,63","57,16","+0,63",967,"+4,61",758,"+2,36",915,"+4,00",168,"-2,64",59,"+0,83",236,"+3,32",156,"-0,9816","-1,0283","-0,8180","-0,4090","-0,2954","-0,3095","-0,2462","-0,1231","0,6350","0,6653","0,5292","0,2646",12,0.074826,78,0.5,66,
CN-RHG,RHG,01-2025,30/06/2025,189Y,378-6851,82417,82190,69308,65952,20728,43848,"38,86",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10","57,16","+0,63","57,16","+0,63",762,"+0,36",578,"-1,06",664,"+0,17",147,"-2,33",59,"+0,83",236,"+3,32",189,"-0,7834","-0,8207","-0,6528","-0,3264","0,0000","0,0000","0,0000","0,0000","0,7759","0,8129","0,6466","0,3233",63,0.335464,66,0.349412,60,
CN-RHH,RHH,02-2025,04/06/2025,189Y,378-6851,82417,82190,69308,65952,20728,43940,"38,76",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10","57,16","+0,63","57,16","+0,63",762,"+0,36",578,"-1,06",664,"+0,17",147,"-2,33",59,"+0,83",236,"+3,32",189,"-0,7834","-0,8207","-0,6528","-0,3264","0,0000","0,0000","0,0000","0,0000","0,7759","0,8129","0,6466","0,3233",63,0.335464,66,0.349412,60,
CN-ROA,ROA,01-2025,07/02/2025,12C147Y,EG1305,75296,75069,66360,62731,20893,41279,"44,51",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,27",1043,"+2,76",1160,"+1,45",260,"-0,94",59,"+0,83",237,"+3,33",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-ROU,ROU,001-2024,04/11/2024,12C147Y,EG1305,78471,78244,66360,62731,20893,41341,"44,21",52,"-0,65",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1286,"+4,28",1042,"+2,77",1159,"+1,46",259,"-0,92",60,"+0,83",238,"+3,32",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.072397,78,0.482882,69,
