Immatriculation,MSN,Tabulation,Section,Modèle,Version
,44326,1N186,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
,44328,1N188,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
,44334,1N187,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
,65117,1N185,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-MAX,60008,1J041,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-MAY,60011,1J042,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RGE,36822,YR516,737-800WSFP1 CFM56-7B26 C M KG FAA EUOPS CATC TALPA (FMC Model 737-800W.1),737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGF,36826,YR517,737-800WSFP1 CFM56-7B26 C M KG FAA EUOPS CATC TALPA (FMC Model 737-800W.1),737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGG,36829,YR518,737-800WSFP1 CFM56-7B26 C M KG FAA EUOPS CATC TALPA (FMC Model 737-800W.1),737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGH,36828,YR519,737-800WSFP1 CFM56-7B26 C M KG FAA EUOPS CATC TALPA (FMC Model 737-800W.1),737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGI,36831,YR520,737-800WSFP1 CFM56-7B26 C M KG FAA EUOPS CATC TALPA (FMC Model 737-800W.1),737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGJ,33072,YR941,737-800W CFM56-7B26 KG FAA EU-OPS CATC/N TALPA,737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGK,33073,YR942,737-800W CFM56-7B26 KG FAA EU-OPS CATC/N TALPA,737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGM,33074,YR943,737-800W CFM56-7B26 KG FAA EU-OPS CATC/N TALPA,737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGN,33075,YR944,737-800W CFM56-7B26 KG FAA EU-OPS CATC/N TALPA,737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGV,33982,YK372,737-800WSFP1 CFM56-7B26 C M KG FAA EUOPS CATC TALPA (FMC Model 737-800W.1),737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RGW,41350,YW916,737-800W CFM56-7B26 KG FAA EU-OPS CATC/N TALPA,737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
CN-RHC,66443,1J056,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHD,43350,1J057,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHE,66444,1J058,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHF,43352,1J059,737-8 LEAP-1B27 KG C M FAA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHG,42828,1A304,737-8 LEAP-1B27 KG C M EASA CATB TO1-10% TO2-20%,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHH,42830,1A301,737-8 LEAP-1B27 KG C M EASA CATB TO1-10% TO2-20%,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHI,62878,1C205,737-8 LEAP-1B28 KG C M EASA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHJ,43342,1C211,737-8 LEAP-1B28 KG C M EASA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHK,43329,1C209,737-8 LEAP-1B28 KG C M EASA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHL,43313,1C206,737-8 LEAP-1B28 KG C M EASA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHM,43316,1C203,737-8 LEAP-1B28 KG C M EASA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RHN,43315,1C204,737-8 LEAP-1B28 KG C M EASA CATB TO1-10% TO2-20% ALT-AB,737 MAX,FCOM 737-MAX D6-27370-MAX-RAM(P2) Rev 9 30-11-25 COMPLETE
CN-RNU,28987,YC304,737-800W CFM56-7B26 KG FAA EU-OPS CATC/N TALPA,737 NG,FCOM D6-27370-8B6-RAM(B6)_B737_Rev63_30-09-2025 Complete
